Abdomen, Acute	D000006
Abortion, Incomplete	D000027
Abortion, Missed	D000030
Abortion, Threatened	D000033
Acanthamoeba Keratitis	D015823
Achlorhydria	D000126
Acidosis, Lactic	D000140
Acidosis, Renal Tubular	D000141
Acinetobacter Infections	D000151
Acromegaly	D000172
Acute Coronary Syndrome	D054058
Acute Disease	D000208
Adenoma, Liver Cell	D018248
Adenovirus Infections, Human	D000258
Adrenal Hyperplasia, Congenital	D000312
Adrenocortical Carcinoma	D018268
Adrenoleukodystrophy	D000326
Afibrinogenemia	D000347
Agammaglobulinemia	D000361
Agoraphobia	D000379
Akathisia, Drug-Induced	D017109
Albuminuria	D000419
Alcoholic Intoxication	D000435
Alcoholic Neuropathy	D020269
Alopecia Areata	D000506
Altitude Sickness	D000532
Amenorrhea	D000568
Amyloid Neuropathies, Familial	D028227
Amyotrophic Lateral Sclerosis	D000690
Ancylostomiasis	D000724
Anemia, Hemolytic, Autoimmune	D000744
Anemia, Hemolytic, Congenital Nonspherocytic	D000746
Anemia, Sideroblastic	D000756
Anorexia Nervosa	D000856
Antithrombin III Deficiency	D020152
Aortic Coarctation	D001017
Aortic Valve Insufficiency	D001022
Arsenic Poisoning	D020261
Arteriosclerosis Obliterans	D001162
Arthritis, Juvenile	D001171
Arthritis, Psoriatic	D015535
Ascites	D001201
Asphyxia	D001237
Asthma, Exercise-Induced	D001250
Atrial Premature Complexes	D018880
Atrioventricular Block	D054537
Atrophic Vaginitis	D059268
Atypical Hemolytic Uremic Syndrome	D065766
Autistic Disorder	D001321
Babesiosis	D001404
Bacteriuria	D001437
Bacteroides Infections	D001442
Barth Syndrome	D056889
Bartter Syndrome	D001477
Behcet Syndrome	D001528
Beriberi	D001602
Berylliosis	D001607
Biliary Fistula	D001658
Binge Drinking	D063425
Bipolar Disorder	D001714
Bites, Human	D001734
Blackwater Fever	D001742
Blast Crisis	D001752
Blastocystis Infections	D016776
Blastomycosis	D001759
Blepharospasm	D001764
Blister	D001768
Blood Loss, Surgical	D016063
Botulism	D001906
Bronchiolitis Obliterans Syndrome	D000092122
Bronchitis, Chronic	D029481
Bronchopneumonia	D001996
Bronchopulmonary Dysplasia	D001997
Brugada Syndrome	D053840
Bulimia Nervosa	D052018
Bundle-Branch Block	D002037
Burkitt Lymphoma	D002051
Cachexia	D002100
Cadmium Poisoning	D002105
Cafe-au-Lait Spots	D019080
Campylobacter Infections	D002169
Candidemia	D058387
Candidiasis, Vulvovaginal	D002181
Carbon Monoxide Poisoning	D002249
Carcinoma, Ductal, Breast	D018270
Carcinoma, Merkel Cell	D015266
Carcinoma, Non-Small-Cell Lung	D002289
Carcinoma, Ovarian Epithelial	D000077216
Carcinoma, Pancreatic Ductal	D021441
Carcinoma, Papillary	D002291
Carcinoma, Renal Cell	D002292
Carcinoma, Small Cell	D018288
Carcinoma, Transitional Cell	D002295
Cardiac Tamponade	D002305
Cardiomyopathy, Dilated	D002311
Castleman Disease	D005871
Cataplexy	D002385
Catatonia	D002389
Catheter-Related Infections	D055499
Causalgia	D002422
Celiac Disease	D002446
Cephalopelvic Disproportion	D052178
Cerebral Palsy	D002547
Chancroid	D002602
Charcot-Marie-Tooth Disease	D002607
Chemical and Drug Induced Liver Injury, Chronic	D056487
Chikungunya Fever	D065632
Child Behavior Disorders	D002653
Cholera	D002771
