14-alpha Demethylase Inhibitors	N0000020025
5-Lipoxygenase Inhibitors	N0000175955
5-alpha Reductase Inhibitors	N0000000126
AMPA Receptor Antagonists	N0000020016
APOC-III RNA Antisense Inhibitor	N0000194143
Acetyl Aldehyde Dehydrogenase Inhibitors	N0000000183
Acetylcholine Release Inhibitors	N0000175770
Acetylcholine Transporter Interactions	N0000009955
Acidifying Activity	N0000175833
Activin Signaling Inhibitors	N0000194101
Adenosine Deaminase Inhibitors	N0000000187
Adenosine Receptor Agonists	N0000175788
Adenosine Triphosphate-Citrate Lyase Inhibitors	N0000193914
Adrenergic alpha1-Agonists	N0000009917
Adrenergic alpha2-Agonists	N0000009918
Adrenergic alpha2-Antagonists	N0000009920
Adrenergic beta1-Agonists	N0000009921
Adrenergic beta1-Antagonists	N0000009923
Adrenergic beta2-Agonists	N0000009922
Adrenergic beta2-Antagonists	N0000009924
Adrenergic beta3-Agonists	N0000185007
Alcohol Dehydrogenase Inhibitors	N0000000179
Aldosterone Antagonists	N0000011310
Alkalinizing Activity	N0000009986
Alkylating Activity	N0000000236
Amylase Inhibitors	N0000010274
Amylin Agonists	N0000020064
Amyloid Beta-directed Antibody Interactions	N0000193950
Androgen Receptor Agonists	N0000000146
Androgen Receptor Antagonists	N0000000243
Angiopoietin-like 3 Inhibitors	N0000193916
Angiotensin 2 Type 1 Receptor Antagonists	N0000180999
Angiotensin-converting Enzyme Inhibitors	N0000000181
Anthrax Protective Antigen-directed Antibody Interactions	N0000192702
Antithrombins	N0000000107
Aromatase Inhibitors	N0000175080
Aryl Hydrocarbon Receptor Agonists	N0000194019
B Cell Maturation Antigen-directed Antibody Interactions	N0000194165
B Lymphocyte Stimulator-directed Antibody Interactions	N0000182636
Bacterial Neurotoxin Neutralization	N0000184141
Bcr-Abl Tyrosine Kinase Inhibitors	N0000020009
Beta-globin Gene Transfer	N0000193972
Bile Salt Export Pump Inhibitors	N0000193845
Bile-acid Binding Activity	N0000175365
Bone Surface Interactions	N0000009958
Bradykinin B2 Receptor Antagonists	N0000182964
Breast Cancer Resistance Protein Inhibitors	N0000190113
Bruton's Tyrosine Kinase Inhibitors	N0000193934
CD123 Interactions	N0000193865
CD19 Receptor Interactions	N0000193544
CD19-directed Antibody Interactions	N0000191422
CD20-directed Antibody Interactions	N0000175078
CD22-directed Antibody Interactions	N0000193616
CD3 Receptor Agonists	N0000175618
CD3-directed Antibody Interactions	N0000175617
CD30-directed Antibody Interactions	N0000182966
CD33-directed Antibody Interactions	N0000175077
CD38-directed Antibody Interactions	N0000192335
CD4-directed Antibody Interactions	N0000193805
CD52-directed Antibody Interactions	N0000175079
CD80-directed Antibody Interactions	N0000182150
CD86-directed Antibody Interactions	N0000182151
CTLA-4-directed Antibody Interactions	N0000182634
CXC Chemokine Receptor 4 Antagonists	N0000194105
Calcineurin Inhibitors	N0000175458
Calcitonin Gene-related Peptide Antagonists	N0000193953
Calcitonin Gene-related Peptide Receptor Antagonists	N0000193918
Calcium Chelating Activity	N0000175089
Cannabinoid Receptor Agonists	N0000181008
Cannabinoid Receptor Antagonists	N0000181009
Carbamoyl Phosphate Synthetase 1 Activators	N0000184143
Carbonic Anhydrase Inhibitors	N0000000235
Cardiac Myosin Inhibitors	N0000194048
Catechol O-Methyltransferase Inhibitors	N0000175756
Chemokine Co-receptor 5 Antagonists	N0000175445
Chloride Channel Activation Potentiators	N0000184145
Chloride Channel Activators	N0000175456
Chloride Channel Antagonists	N0000000224
Cholinergic Muscarinic Agonists	N0000000104
Cholinergic Muscarinic Antagonists	N0000000125
Cholinergic Neuromuscular Nicotinic Agonists	N0000175717
Cholinergic Neuromuscular Nicotinic Antagonists	N0000175718
Cholinesterase Inhibitors	N0000000177
Cholinesterase Reactivators	N0000000080
Claudin 18.2-directed Antibody Interactions	N0000194106
Colony Stimulating Factor Receptor Type 1 (CSF-1R) Inhibitors	N0000020036
Competitive Cholinergic Nicotinic Antagonists	N0000175703
Competitive Opioid Antagonists	N0000175686
Complement 1 Inactivators	N0000000086
Complement 5 Inactivators	N0000175441
Complement 5a Receptor Antagonists	N0000193974
Complement C5 Inhibitors	N0000194110
Complement Factor B Inhibitors	N0000194112
Complement Factor D Inhibitors	N0000194114
Copper Chelating Activity	N0000020075
Corticotropin-releasing Factor Type 1 Receptor Antagonists	N0000194152
Cyclin-dependent Kinase 4 Inhibitors	N0000193921
Cyclin-dependent Kinase 6 Inhibitors	N0000193922
Cyclooxygenase 2 Inhibitors	N0000008288
Cystine Disulfide Reduction	N0000175549
Cytochrome P450 11B1 Inhibitors	N0000193936
Cytochrome P450 17A1 Inhibitors	N0000182632
Cytochrome P450 1A1 Inhibitors	N0000193954
Cytochrome P450 1A2 Inducers	N0000191266
Cytochrome P450 1A2 Inhibitors	N0000182138
Cytochrome P450 2A6 Inhibitors	N0000193937
Cytochrome P450 2B6 Inducers	N0000187064
Cytochrome P450 2B6 Inhibitors	N0000182139
Cytochrome P450 2C19 Inducers	N0000185607
Cytochrome P450 2C19 Inhibitors	N0000182140
Cytochrome P450 2C8 Inducers	N0000187063
Cytochrome P450 2C8 Inhibitors	N0000187062
