Alveolar Surface Tension Reduction	N0000008294
Analgesia	N0000175439
Antacid	N0000008295
Antiperspirant Activity	N0000008296
Antipruritic Activity	N0000008297
Appetite Stimulation	N0000175373
Appetite Suppression	N0000175372
Astringent Activity	N0000008301
Atrial Repolarization	N0000008303
Bone Formation Stimulation	N0000008311
Bone Resorption Inhibition	N0000008313
Bone Resorption Stimulation	N0000008314
Bronchodilation	N0000008322
Cell-mediated Immunity	N0000184306
Cellular Growth Phase Arrest	N0000008344
Cellular Synthetic Phase Arrest	N0000008349
Centrally-mediated Muscle Relaxation	N0000175730
Cholagogue Activity	N0000008356
Collagen Formation Promotion	N0000008367
Connective Tissue Permeability Alteration Increase	N0000020052
DNA Methylation Decrease	N0000019999
Decreased Adhesion Factor Activity	N0000008384
Decreased Amino Acid Synthesis	N0000010235
Decreased Autonomic Ganglionic Activity	N0000175644
Decreased B Lymphocyte Activation	N0000182156
Decreased Bladder Contractility	N0000008420
Decreased Bladder Sphincter Tone	N0000008421
Decreased Blood Pressure	N0000178477
Decreased Blood Viscosity	N0000175893
Decreased Bradykinin Activity	N0000008422
Decreased Bradykinin Degradation	N0000008423
Decreased Bradykinin Production	N0000008424
Decreased Brain Stem Dopamine Activity	N0000008431
Decreased Brain Stem Organized Electrical Activity	N0000008445
Decreased Brain Stem Substance P Activity	N0000008447
Decreased Calcitonin Secretion	N0000008452
Decreased Capillary Permeability	N0000010253
Decreased Cardiac Muscle Acetylcholine Activity	N0000008453
Decreased Cardiac Muscle Organized Electrical Activity	N0000008472
Decreased Cell Membrane Integrity	N0000008476
Decreased Cell Membrane Synthesis & Repair	N0000008477
Decreased Cell Wall Integrity	N0000008478
Decreased Cell Wall Synthesis & Repair	N0000008479
Decreased Cellular Death	N0000008480
Decreased Cellular Locomotion	N0000008481
Decreased Cerebellum Organized Electrical Activity	N0000008524
Decreased Cerebral Cortex Organized Electrical Activity	N0000008547
Decreased Cholesterol Absorption	N0000008553
Decreased Cholesterol Secretion	N0000010237
Decreased Cholesterol Synthesis	N0000008555
Decreased Coagulation Factor Concentration	N0000008557
Decreased Collecting Duct K+ Excretion	N0000008562
Decreased Collecting Duct Water Permeability	N0000008567
Decreased Complement Activity	N0000008568
Decreased Complement Degradation	N0000008569
Decreased Complement Production	N0000008570
Decreased Copper Ion Absorption	N0000175529
Decreased Cytokine Activity	N0000008571
Decreased Cytokine Production	N0000008573
Decreased Cytoskeleton Integrity	N0000008574
Decreased DNA Integrity	N0000008576
Decreased DNA Replication	N0000008577
Decreased Dihydrotestosterone Secretion	N0000009936
Decreased Distal Tubule Ca++ Excretion	N0000008579
Decreased Distal Tubule H+ Excretion	N0000008581
Decreased Distal Tubule K+ Excretion	N0000008583
Decreased Distal Tubule Na+ Excretion	N0000008585
Decreased Distal Tubule PO4-- Excretion	N0000008586
Decreased Embryonic Implantation	N0000008595
Decreased Endocytosis	N0000008596
Decreased Endothelial Proliferation	N0000175678
Decreased Enteric Nervous System GABA Activity	N0000008610
Decreased Enteric Nervous System Serotonin Activity	N0000008620
Decreased Epithelial Proliferation	N0000175676
Decreased Erythroid Cell Production	N0000008625
Decreased Esophageal Muscle Tone	N0000008628
Decreased Exocytosis	N0000008629
Decreased Fibrinolysis	N0000175632
Decreased Fibroblast Migration	N0000010248
Decreased Folic Acid Modification	N0000009935
Decreased Follicle Stimulating Hormone Secretion	N0000008630
Decreased Gastric Motility	N0000008640
Decreased Glucagon Secretion	N0000008644
Decreased Glucocorticoid Clearance	N0000009939
Decreased Glucocorticoid Secretion	N0000008645
Decreased Gluconeogenesis	N0000008646
Decreased Glucose Transport into Cells	N0000008647
Decreased Glycogenesis	N0000008650
Decreased Glycogenolysis	N0000008651
Decreased Glycolysis	N0000008652
Decreased GnRH Activity	N0000008637
Decreased GnRH Secretion	N0000008638
Decreased Granulocytic Cell Production	N0000008654
Decreased Growth Factor Activity	N0000010232
Decreased Growth Hormone Secretion	N0000008632
Decreased Histamine Degradation	N0000008658
Decreased Histamine Production	N0000008659
Decreased Histamine Release	N0000175628
Decreased IgE Activity	N0000175793
Decreased Insulin Secretion	N0000008666
Decreased Intercellular Communication	N0000008667
Decreased Intraocular Aqueous Secretion	N0000009944
Decreased Intravascular Volume	N0000008669
Decreased Iodine Organification	N0000008670
